FPS,JANK,BigJANK,Max FrameTime(ms),CPU(%),CPU0(%),CPU1(%),CPU2(%),CPU3(%),CPU4(%),CPU5(%),CPU6(%),CPU7(%),CPU0(MHz),CPU1(MHz),CPU2(MHz),CPU3(MHz),CPU4(MHz),CPU5(MHz),CPU6(MHz),CPU7(MHz),CPU(°C),GPU(%),GPU(KHz),Battery(%),Battery(°C),Battery(mA),Battery(volt)
40,0,0,33.36,50.75,66.67,57.89,56.14,53.70,64.06,55.93,30.51,22.95,1748,1748,1748,1748,1392,1392,1392,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,0,0,33.36,47.94,64.81,58.49,51.79,51.72,67.80,52.46,37.93,0.00,1623,1623,1623,1623,1978,1978,1978,1498,-1.00,-1.00,-1,81,32.00,0,4.093
39,0,0,33.38,47.69,67.27,52.94,52.73,53.57,66.67,51.67,38.33,0.00,1623,1623,1623,1623,1392,1392,1392,1498,-1.00,-1.00,-1,81,32.00,0,4.093
39,0,0,33.38,51.52,70.00,64.29,60.34,53.70,61.40,51.67,50.82,3.28,1268,1268,1268,1268,912,912,912,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,0,0,33.36,50.11,64.91,54.55,51.85,51.67,73.33,55.00,41.94,14.29,1508,1508,1508,1508,1978,1978,1978,1997,-1.00,-1.00,-1,81,32.00,0,4.093
40,0,0,33.36,49.57,68.33,63.16,55.17,47.06,63.79,57.38,41.94,1.64,999,999,999,999,1268,1268,1268,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,0,0,33.43,48.82,67.27,60.00,56.14,56.90,63.16,48.28,43.10,0.00,1508,1508,1508,1508,1536,1536,1536,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,0,0,33.43,48.80,70.69,58.18,51.85,49.02,65.57,54.10,43.10,0.00,1748,1748,1748,1748,1268,1268,1268,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,0,0,33.51,49.57,70.69,55.56,52.73,54.39,61.67,54.10,30.51,18.03,1623,1623,1623,1623,2132,2132,2132,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,0,0,33.51,49.13,64.29,53.70,53.45,45.28,58.33,49.15,37.70,32.20,1623,1623,1623,1623,1392,1392,1392,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,0,0,33.37,49.68,66.67,52.73,51.85,55.17,61.67,58.33,34.43,13.33,1844,1844,1844,1844,1690,1690,1690,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,0,0,33.37,48.19,66.07,56.90,54.24,49.09,61.67,50.82,37.10,16.67,1133,1133,1133,1133,1152,1152,1152,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,0,0,33.47,48.49,64.29,56.14,51.79,47.17,63.79,50.00,35.00,18.64,1392,1392,1392,1392,1690,1690,1690,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,0,0,33.47,49.68,67.86,59.02,49.06,50.00,62.30,45.16,49.15,16.39,1392,1392,1392,1392,1690,1690,1690,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,0,0,33.38,52.25,67.27,58.93,53.70,52.73,67.19,56.67,37.29,25.81,1748,1748,1748,1748,1844,1844,1844,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,0,0,33.38,54.53,72.58,61.40,62.07,55.36,63.79,50.00,46.03,26.23,1844,1844,1844,1844,816,816,816,1498,-1.00,-1.00,-1,81,33.00,0,4.093
