FPS,JANK,BigJANK,Max FrameTime(ms),CPU(%),CPU0(%),CPU1(%),CPU2(%),CPU3(%),CPU4(%),CPU5(%),CPU6(%),CPU7(%),CPU0(MHz),CPU1(MHz),CPU2(MHz),CPU3(MHz),CPU4(MHz),CPU5(MHz),CPU6(MHz),CPU7(MHz),CPU(°C),GPU(%),GPU(KHz),Battery(%),Battery(°C),Battery(mA),Battery(volt)
40,1,0,66.69,60.64,77.59,70.91,75.00,71.93,70.00,48.28,40.98,31.67,1844,1844,1844,1844,1690,1690,1690,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,1,0,66.69,66.82,79.66,69.23,75.00,74.07,51.85,47.37,41.07,96.36,1508,1508,1508,1508,2228,2228,2228,2583,-1.00,-1.00,-1,81,33.00,0,4.093
40,1,0,50.01,70.35,77.97,77.42,76.67,76.27,68.75,59.38,43.55,83.61,1508,1508,1508,1508,2333,2333,2333,2247,-1.00,-1.00,-1,81,33.00,0,4.093
40,1,0,50.01,57.84,75.44,68.52,68.52,70.18,66.10,53.57,26.32,33.93,1623,1623,1623,1623,1152,1152,1152,1498,-1.00,-1.00,-1,81,33.00,0,4.093
37,3,1,100.01,62.02,81.03,74.55,74.55,79.37,70.00,53.45,37.93,22.41,1844,1844,1844,1844,2400,2400,2400,2583,-1.00,-1.00,-1,81,33.00,0,4.093
37,3,1,100.01,63.04,83.64,75.00,79.31,78.95,66.67,53.33,44.26,30.51,1844,1844,1844,1844,1037,1037,1037,1498,-1.00,-1.00,-1,81,33.00,0,4.093
33,4,2,216.67,61.60,81.03,77.19,77.97,78.69,71.19,49.15,36.67,18.97,1844,1844,1844,1844,1690,1690,1690,1498,-1.00,-1.00,-1,81,33.00,0,4.093
33,4,2,216.67,63.03,80.00,78.00,80.39,79.63,67.27,55.77,40.00,23.64,1748,1748,1748,1748,1152,1152,1152,1498,-1.00,-1.00,-1,81,33.00,0,4.093
38,4,0,66.66,65.14,80.00,77.97,80.65,75.41,68.25,64.18,49.25,27.27,1748,1748,1748,1748,2400,2400,2400,2500,-1.00,-1.00,-1,81,33.00,0,4.093
38,4,0,66.66,61.90,72.22,66.07,67.27,67.27,55.00,40.98,32.79,96.61,1392,1392,1392,1392,2228,2228,2228,2583,-1.00,-1.00,-1,81,33.00,0,4.093
39,5,0,50.04,66.74,80.33,72.13,74.19,71.19,74.14,60.66,42.62,61.40,1844,1844,1844,1844,2400,2400,2400,1498,-1.00,-1.00,-1,81,33.00,0,4.093
39,5,0,50.04,59.35,79.66,75.44,78.18,72.41,67.80,47.37,30.51,23.33,1844,1844,1844,1844,1152,1152,1152,1498,-1.00,-1.00,-1,81,33.00,0,4.093
41,2,0,50.01,59.57,78.69,75.81,73.21,75.93,65.52,59.68,40.68,8.20,1392,1392,1392,1392,1268,1268,1268,1498,-1.00,-1.00,-1,80,33.00,0,4.072
41,2,0,50.01,56.77,79.25,76.36,75.51,74.00,60.38,49.09,42.59,3.64,1844,1844,1844,1844,912,912,912,1498,-1.00,-1.00,-1,80,33.00,0,4.072
40,2,0,50.03,58.18,76.27,70.18,70.97,74.19,66.67,60.32,38.46,9.52,1844,1844,1844,1844,1844,1844,1844,1498,-1.00,-1.00,-1,80,33.00,0,4.072
40,2,0,50.03,54.27,71.70,66.67,69.64,71.19,62.71,56.67,29.63,5.08,1133,1133,1133,1133,912,912,912,1498,-1.00,-1.00,-1,80,33.00,0,4.072
40,4,0,50.03,61.85,73.77,65.52,68.42,64.81,59.32,44.83,28.81,91.38,1623,1623,1623,1623,2400,2400,2400,2583,-1.00,-1.00,-1,80,33.00,0,4.072
40,4,0,50.03,68.95,77.42,77.59,77.78,77.97,53.45,52.54,40.68,96.55,1748,1748,1748,1748,2228,2228,2228,2583,-1.00,-1.00,-1,80,33.00,0,4.072
39,2,0,50.08,62.66,75.00,73.33,73.21,71.43,59.02,41.38,30.00,79.31,1508,1508,1508,1508,1268,1268,1268,1498,-1.00,-1.00,-1,80,33.00,0,4.072
39,2,0,50.08,56.03,75.00,74.07,72.00,70.00,62.26,51.79,31.48,17.24,1844,1844,1844,1844,912,912,912,1498,-1.00,-1.00,-1,80,33.00,0,4.072
40,4,0,50.02,62.75,77.42,76.56,80.33,77.78,71.88,61.90,44.44,12.12,1748,1748,1748,1748,1268,1268,1268,1498,-1.00,-1.00,-1,80,33.00,0,4.072
40,4,0,50.02,59.52,78.95,74.07,77.19,77.59,61.02,55.17,37.93,18.97,1844,1844,1844,1844,912,912,912,1498,-1.00,-1.00,-1,80,33.00,0,4.072
40,1,0,50.01,64.09,78.95,80.33,79.31,79.66,71.43,54.84,44.26,25.81,1844,1844,1844,1844,2400,2400,2400,1498,-1.00,-1.00,-1,80,33.00,0,4.072
40,1,0,50.01,61.29,79.66,75.00,76.67,76.36,58.18,55.74,40.68,31.67,1844,1844,1844,1844,2132,2132,2132,1498,-1.00,-1.00,-1,80,33.00,0,4.072
40,3,0,50.01,65.74,76.27,72.41,75.44,73.68,62.07,44.07,34.48,88.33,1844,1844,1844,1844,2400,2400,2400,1498,-1.00,-1.00,-1,80,33.00,0,4.072
40,3,0,50.01,67.55,77.08,75.00,80.36,74.51,57.69,48.08,45.28,82.69,1844,1844,1844,1844,2333,2333,2333,1498,-1.00,-1.00,-1,80,33.00,0,4.072
39,2,1,100.04,67.84,79.03,76.56,76.19,76.27,70.15,54.55,44.44,66.15,1844,1844,1844,1844,1978,1978,1978,1498,-1.00,-1.00,-1,80,33.00,0,4.072
39,2,1,100.04,60.09,78.57,75.44,76.79,74.07,55.36,50.00,44.83,31.67,1844,1844,1844,1844,1536,1536,1536,1498,-1.00,-1.00,-1,80,33.00,0,4.072
38,2,1,150.00,61.04,78.95,77.59,78.57,78.57,63.79,61.67,31.58,20.69,1844,1844,1844,1844,2132,2132,2132,1498,-1.00,-1.00,-1,80,33.00,0,4.072
38,2,1,150.00,59.09,77.59,71.93,74.55,74.14,64.29,58.73,33.93,21.31,1748,1748,1748,1748,1392,1392,1392,1498,-1.00,-1.00,-1,80,33.00,0,4.072
38,2,2,83.41,62.23,78.57,75.44,75.93,75.00,64.91,51.72,52.46,25.86,1844,1844,1844,1844,2400,2400,2400,1498,-1.00,-1.00,-1,80,33.00,0,4.072
38,2,2,83.41,66.08,77.55,74.00,73.47,74.51,60.00,58.00,40.82,66.67,1623,1623,1623,1623,2228,2228,2228,2583,-1.00,-1.00,-1,80,33.00,0,4.072
